policy,seed,requested_drivers,launched_drivers,drivers_skipped_no_route,route_coverage_rate,eligible_riders,served_riders,total_profit,profit_per_driver,service_rate,mean_wait_min,mean_walk_min,mean_observability,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,run_id
corridor_only,42,250,250,0,1.0,273270,98,-1449.869275603665,-5.79947710241466,0.00035861968016979545,2.446428571428571,5.187746784719428,0.18159459645063009,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,43,250,250,0,1.0,273270,100,-1443.619275603665,-5.77447710241466,0.0003659384491528525,2.4404999999999992,5.187746784719428,0.18159459645063009,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,44,250,250,0,1.0,273270,103,-1385.869275603665,-5.54347710241466,0.00037691660262743806,2.502427184466019,5.187746784719428,0.18159459645063009,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
time_only_baseline,42,250,250,0,1.0,273270,129,-1320.3013322231488,-5.281205328892596,0.0004720605994071797,2.4627906976744196,4.114134225190222,0.5837322922974635,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
time_only_baseline,43,250,250,0,1.0,273270,122,-1309.5513322231493,-5.238205328892597,0.00044644490796648005,2.58032786885246,4.114134225190222,0.5837322922974635,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
time_only_baseline,44,250,250,0,1.0,273270,126,-1343.0513322231488,-5.372205328892595,0.00046108244593259416,2.3952380952380956,4.114134225190222,0.5837322922974635,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
feasible_count_baseline,42,250,250,0,1.0,273270,147,-1169.100582847628,-4.676402331390512,0.0005379295202546932,2.337528344671201,4.14070254516346,0.5844498571934714,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
feasible_count_baseline,43,250,250,0,1.0,273270,137,-1280.100582847628,-5.120402331390512,0.0005013356753394079,2.576642335766424,4.14070254516346,0.5844498571934714,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
feasible_count_baseline,44,250,250,0,1.0,273270,157,-1072.1005828476273,-4.288402331390509,0.0005745233651699784,2.4319532908704895,4.14070254516346,0.5844498571934714,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
walk_aware_rendezvous,42,250,250,0,1.0,273270,152,-1058.6245212323065,-4.234498084929226,0.0005562264427123358,2.3291666666666675,3.145644726581836,0.5708676808231523,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
walk_aware_rendezvous,43,250,250,0,1.0,273270,143,-1188.6245212323074,-4.75449808492923,0.0005232919822885791,2.367832167832167,3.145644726581836,0.5708676808231523,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
walk_aware_rendezvous,44,250,250,0,1.0,273270,149,-1073.124521232307,-4.292498084929228,0.0005452482892377502,2.406040268456376,3.145644726581836,0.5708676808231523,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
rendezvous_only,42,250,250,0,1.0,273270,150,-1102.6141965029149,-4.410456786011659,0.0005489076737292787,2.503,4.149608434927324,0.5826982102190368,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
rendezvous_only,43,250,250,0,1.0,273270,144,-1189.8641965029149,-4.7594567860116594,0.0005269513667801076,2.399537037037037,4.149608434927324,0.5826982102190368,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
rendezvous_only,44,250,250,0,1.0,273270,153,-1116.1141965029149,-4.4644567860116595,0.0005598858272038643,2.4078431372549023,4.149608434927324,0.5826982102190368,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
rendezvous_observable,42,250,250,0,1.0,273270,148,-1156.7094088259792,-4.626837635303916,0.0005415889047462217,2.357995495495495,3.9035319038906993,0.6039251197267249,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
rendezvous_observable,43,250,250,0,1.0,273270,140,-1178.7094088259794,-4.714837635303917,0.0005123138288139935,2.384166666666667,3.9035319038906993,0.6039251197267249,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
rendezvous_observable,44,250,250,0,1.0,273270,151,-1136.959408825979,-4.547837635303916,0.0005525670582208073,2.38962472406181,3.9035319038906993,0.6039251197267249,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
